ID,Region,Gender,Sexuality,Race,Disabled,Education,Work Model,Seniority,Industry Sector,Company size
#P01,Southeast,Man,Heterosexual,White,No,Graduate,Hybrid,Mid-level,Private,Small
#P02,Southeast,Man,Heterosexual,Non-white,No,Graduate,Remote,Mid-level,Private,Big
#P03,Northeast,Woman,Others/I don't know,Non-white,No,Undergraduate,Remote,Junior,Non-profit/NGO,Big
#P04,Northeast,Man,Heterosexual,White,No,Phd,Remote,Mid-level,Private,Big
#P05,Northeast,Man,Heterosexual,White,No,Masters,Remote,Mid-level,Private,Small
#P06,Southeast,Man,LGBTQ+,White,No,Phd,Hybrid,Junior,Private,Big
#P07,Northeast,Man,Heterosexual,White,No,Graduate,Remote,Junior,Private,Small
#P08,Northeast,Man,Heterosexual,Non-white,No,Graduate,Remote,Senior,Non-profit/NGO,Big
#P09,Southeast,Man,LGBTQ+,Non-white,No,Masters,On-site,Mid-level,Private,Big
#P10,Northeast,Man,Heterosexual,Non-white,No,Phd,Remote,Mid-level,Private,Big
#P11,Southeast,Man,Heterosexual,White,No,Undergraduate,Remote,Junior,Private,Small
#P12,Others/I don't know,Woman,Heterosexual,Non-white,No,Graduate,Remote,Mid-level,Private,Big
#P13,Northeast,Woman,Heterosexual,White,No,Masters,Hybrid,Senior,Private,Big
#P14,Northeast,Man,Heterosexual,White,No,Masters,Remote,Junior,Private,Big
#P15,Southeast,Man,Heterosexual,White,No,Undergraduate,Remote,Junior,Private,Big
#P16,Southeast,Man,Heterosexual,Non-white,No,Undergraduate,Hybrid,Senior,Private,Big
#P17,Southeast,Man,Heterosexual,White,No,Graduate,Hybrid,Senior,Private,Big
#P18,Southeast,Man,Heterosexual,White,No,Undergraduate,On-site,Junior,Private,Small
#P19,Southeast,Man,Heterosexual,Non-white,No,Graduate,Hybrid,Junior,Private,Big
#P20,Southeast,Others/I don't know,Heterosexual,White,No,Graduate,Remote,Senior,Private,Big
#P21,Northeast,Man,LGBTQ+,White,No,Graduate,Hybrid,Senior,Public,Big
#P22,South,Man,Heterosexual,White,No,Masters,Remote,Senior,Private,Big
#P23,Northeast,Man,Heterosexual,White,No,Masters,On-site,Senior,Public,Big
#P24,Southeast,Man,Heterosexual,White,No,Undergraduate,Hybrid,Junior,Non-profit/NGO,Others/I don't know
#P25,Southeast,Woman,Heterosexual,Non-white,No,Masters,Hybrid,Senior,Private,Big
#P26,Others/I don't know,Man,Heterosexual,Non-white,No,Phd,Hybrid,Mid-level,Private,Big
#P27,Southeast,Woman,Others/I don't know,White,No,Graduate,Remote,Senior,Private,Big
#P28,Southeast,Woman,LGBTQ+,White,No,Graduate,Remote,Senior,Private,Big
#P29,Certer-West,Man,Heterosexual,White,No,Graduate,On-site,Junior,Public,Big
#P30,Certer-West,Man,Heterosexual,White,No,Graduate,On-site,Junior,Public,Big
#P31,Others/I don't know,Man,Heterosexual,White,No,Graduate,Hybrid,Senior,Private,Big
#P32,Southeast,Man,Heterosexual,White,No,Graduate,Remote,Mid-level,Private,Small
#P33,Southeast,Man,Heterosexual,Non-white,No,Graduate,Remote,Mid-level,Private,Big
#P34,Southeast,Man,Heterosexual,White,Yes,Masters,Hybrid,Senior,Private,Small
#P35,Southeast,Woman,Heterosexual,Non-white,No,Masters,Hybrid,Senior,Private,Small
#P36,Southeast,Man,Heterosexual,White,No,Undergraduate,Hybrid,Junior,Non-profit/NGO,Big
#P37,Southeast,Woman,Heterosexual,Non-white,No,Undergraduate,Remote,Junior,Private,Small
#P38,Southeast,Man,Heterosexual,White,No,Graduate,Hybrid,Junior,Non-profit/NGO,Big
#P39,Southeast,Man,Heterosexual,White,No,Graduate,On-site,Senior,Private,Small
#P40,Southeast,Man,LGBTQ+,White,No,Undergraduate,On-site,Mid-level,Private,Small
#P41,Southeast,Man,Heterosexual,Non-white,No,Undergraduate,Remote,Mid-level,Private,Others/I don't know
#P42,Southeast,Man,Heterosexual,Others/I don't know,No,Graduate,Remote,Junior,Private,Others/I don't know
#P43,Southeast,Man,Heterosexual,White,No,Graduate,Hybrid,Intern,Private,Small
#P44,Southeast,Woman,LGBTQ+,White,No,Undergraduate,Hybrid,Intern,Private,Small
#P45,Southeast,Woman,Others/I don't know,Non-white,No,Undergraduate,On-site,Intern,Private,Small
#P46,Southeast,Woman,Heterosexual,Non-white,No,Graduate,On-site,Senior,Private,Small
#P47,Southeast,Man,Heterosexual,Non-white,No,Undergraduate,Remote,Mid-level,Private,Small
#P48,Others/I don't know,Woman,Heterosexual,Non-white,No,Masters,Hybrid,Senior,Private,Big
#P49,Others/I don't know,Man,Heterosexual,White,No,Undergraduate,Remote,Senior,Private,Big
#P50,Southeast,Man,Heterosexual,White,No,Graduate,Hybrid,Junior,Private,Big
#P51,Southeast,Man,Heterosexual,Non-white,No,Graduate,Remote,Senior,Private,Big
#P52,Southeast,Woman,Heterosexual,White,No,Masters,Remote,Junior,Private,Small
#P53,Southeast,Man,Heterosexual,Non-white,No,Masters,Hybrid,Junior,Public,Big
#P54,Northeast,Man,LGBTQ+,Non-white,No,Masters,Remote,Junior,Private,Big
#P55,Southeast,Man,Heterosexual,Non-white,No,Graduate,Hybrid,Senior,Private,Big
#P56,Northeast,Man,Heterosexual,Non-white,No,Graduate,Hybrid,Mid-level,Private,Big
#P57,Southeast,Others/I don't know,LGBTQ+,Non-white,No,Masters,Remote,Mid-level,Private,Big
#P58,Northeast,Man,LGBTQ+,White,No,Undergraduate,Remote,Intern,Private,Small
#P59,Others/I don't know,Man,Others/I don't know,Non-white,No,Undergraduate,On-site,Mid-level,Private,Big
#P60,Northeast,Woman,Others/I don't know,Non-white,No,Undergraduate,Hybrid,Intern,Non-profit/NGO,Small
#P61,Northeast,Woman,LGBTQ+,White,No,Undergraduate,Hybrid,Intern,Non-profit/NGO,Small
#P62,Southeast,Man,Heterosexual,Non-white,No,Graduate,Remote,Senior,Private,Big
#P63,Southeast,Woman,LGBTQ+,Non-white,No,Undergraduate,Hybrid,Intern,Non-profit/NGO,Big
#P64,Southeast,Woman,LGBTQ+,White,No,Undergraduate,On-site,Intern,Private,Big
#P65,Southeast,Man,Heterosexual,White,No,Undergraduate,Hybrid,Intern,Public,Big
#P66,Southeast,Woman,Heterosexual,White,No,Undergraduate,Hybrid,Intern,Private,Small
#P67,Southeast,Man,Heterosexual,White,No,Undergraduate,On-site,Intern,Private,Small
#P68,Southeast,Man,Heterosexual,Non-white,No,Graduate,On-site,Intern,Non-profit/NGO,Small
#P69,Southeast,Woman,LGBTQ+,White,No,Undergraduate,On-site,Intern,Private,Small
