ID,Race/Ethnicity,Gender/Sexuality,Neurodivergency,Disability,Elderly
#P01,3,3,2,2,3
#P02,3,3,2,2,2
#P03,4,4,4,4,2
#P04,4,4,4,4,4
#P05,4,4,3,1,1
#P06,3,3,2,2,3
#P07,3,3,2,2,1
#P08,4,4,3,3,4
#P09,2,1,1,1,3
#P10,4,3,1,1,1
#P11,4,4,4,4,4
#P12,3,3,2,2,2
#P13,1,1,1,1,1
#P14,4,3,1,1,1
#P15,2,3,3,1,3
#P16,3,4,2,1,1
#P17,3,4,3,2,3
#P18,3,3,3,3,1
#P19,4,4,3,3,4
#P20,4,4,4,3,3
#P21,4,4,2,2,2
#P22,3,3,2,1,3
#P23,4,4,3,3,3
#P24,3,3,1,1,4
#P25,1,1,1,1,1
#P26,3,2,2,2,4
#P27,2,2,1,1,1
#P28,4,4,3,3,4
#P29,4,4,4,4,4
#P30,3,3,3,3,3
#P31,3,3,3,2,2
#P32,2,3,3,1,1
#P33,1,1,1,1,2
#P34,2,3,1,1,2
#P35,3,3,2,2,4
#P36,2,2,1,1,4
#P37,1,1,1,1,2
#P38,1,2,2,2,4
#P39,3,3,3,3,3
#P40,4,4,4,4,3
#P41,3,3,3,3,3
#P42,4,4,4,4,4
#P43,3,3,2,2,4
#P44,3,3,3,3,4
#P45,3,3,1,1,1
#P46,4,1,1,1,4
#P47,4,4,4,3,3
#P48,4,4,1,1,4
#P49,4,3,3,3,3
#P50,4,4,4,4,4
#P51,3,2,2,3,2
#P52,4,4,3,3,3
#P53,4,4,4,4,4
#P54,3,3,2,1,1
#P55,3,3,1,2,3
#P56,3,3,3,3,1
#P57,4,4,3,3,2
#P58,1,1,1,1,1
#P59,3,3,1,1,1
#P60,4,4,4,2,1
#P61,3,3,2,1,1
#P62,2,2,1,1,2
#P63,1,3,2,1,4
#P64,4,3,2,2,2
#P65,1,3,2,1,1
#P66,4,4,1,1,2
#P67,3,3,1,1,3
#P68,3,4,3,3,3
#P69,1,1,1,1,1
#P70,4,3,2,2,3
#P71,4,4,4,4,4
#P72,4,4,4,4,4
#P73,3,3,3,3,3
#P74,2,2,2,2,3
#P75,3,4,4,1,1
#P76,3,2,2,2,3
#P77,4,4,3,3,3
#P78,4,4,3,3,1
#P79,3,2,1,1,2
#P80,1,1,1,1,1
#P81,2,2,2,2,2
#P82,2,3,2,2,3
#P83,3,3,2,1,1
#P84,4,4,1,1,4
#P85,3,4,2,1,1
#P86,2,2,2,2,2
#P87,1,2,1,1,1
